Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5161250451,TC0918,71,393,G Matt Fitzpatrick G Tommy Fleetwood G Sudarshan Yellamaraju G Andrew Putnam G Mackenzie Hughes G Jackson Suber,,Jacob Bridgeman,G,50.00%,67.5
2,5161822863,xxchowzerxx,76,355.5,G Nicolai Hojgaard G Shane Lowry G Alex Fitzpatrick G Jacob Bridgeman G Sahith Theegala G Tom Kim,,Eric Cole,G,50.00%,38
3,5163460719,superchung,54,345.5,G Tommy Fleetwood G Aaron Rai G Jacob Bridgeman G Eric Cole G Bud Cauley G Max Greyserman,,Tommy Fleetwood,G,37.50%,84
4,5161456479,rogeristhebest,80,317.5,G Shane Lowry G Kristoffer Reitan G Alex Fitzpatrick G Jacob Bridgeman G Nick Taylor G Andrew Putnam,,Andrew Putnam,G,37.50%,36
5,5161476788,novuho,64,298.5,G Robert MacIntyre G Kristoffer Reitan G Nick Taylor G Eric Cole G Corey Conners G Taylor Pendrith,,Kristoffer Reitan,G,37.50%,53
6,5162935100,lostjit,49,287,G Tommy Fleetwood G Justin Rose G Aaron Rai G Rico Hoey G Tony Finau G Austin Eckroat,,Alex Fitzpatrick,G,37.50%,61
7,5161856040,ahhduma21,30,277,G Wyndham Clark G Alex Fitzpatrick G Aaron Rai G Eric Cole G Mac Meissner G Andrew Putnam,,Aaron Rai,G,37.50%,31
8,5161256168,tallguy714,33,269.5,G Brooks Koepka G Alex Noren G Kristoffer Reitan G Jacob Bridgeman G Eric Cole G Tom Hoge,,Shane Lowry,G,25.00%,63
,,,,,,,Nick Taylor,G,25.00%,37
,,,,,,,Matt Fitzpatrick,G,12.50%,70
,,,,,,,Sudarshan Yellamaraju,G,12.50%,79.5
,,,,,,,Mackenzie Hughes,G,12.50%,22
,,,,,,,Jackson Suber,G,12.50%,101.5
,,,,,,,Brooks Koepka,G,12.50%,63.5
,,,,,,,Alex Noren,G,12.50%,21
,,,,,,,Tom Hoge,G,12.50%,26.5
,,,,,,,Robert MacIntyre,G,12.50%,63.5
,,,,,,,Corey Conners,G,12.50%,28
,,,,,,,Taylor Pendrith,G,12.50%,79
,,,,,,,Nicolai Hojgaard,G,12.50%,28
,,,,,,,Sahith Theegala,G,12.50%,74.5
,,,,,,,Tom Kim,G,12.50%,61.5
,,,,,,,Wyndham Clark,G,12.50%,81.5
,,,,,,,Mac Meissner,G,12.50%,29.5
,,,,,,,Justin Rose,G,12.50%,26.5
,,,,,,,Rico Hoey,G,12.50%,29
,,,,,,,Tony Finau,G,12.50%,71.5
,,,,,,,Austin Eckroat,G,12.50%,45
,,,,,,,Bud Cauley,G,12.50%,93
,,,,,,,Max Greyserman,G,12.50%,32
